"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Authoring","Enrich enablement content automatically with AI support.","SAP Enable Now‚ cloud edition","Human Capital Management","Premium","Generally Available","Generally Available","J70","","","https://discovery-center.cloud.sap/ai-feature/d45d7c1a-40ce-4494-a8de-3fec3c9e6e99/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Calculations","Generates and explains calculations using natural language.","SAP Analytics Cloud","Financial Management","Premium","Generally Available","Generally Available","J471","","","https://discovery-center.cloud.sap/ai-feature/b0112bf9-3bff-4991-b029-44248df82479/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Commenting","Summarize existing comments and rephrase new comments when authoring.","SAP Analytics Cloud","Financial Management","Premium","Generally Available","Generally Available","J275","","","https://discovery-center.cloud.sap/ai-feature/3a0d3a44-e0c6-42e9-b489-cbbd0c1d1030/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Forecasting","Generate forecasts for scenarios or areas of your business.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J818","","","https://discovery-center.cloud.sap/ai-feature/aa288890-0418-4503-a549-12bcc1a5a67d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Forecasting","Create forecast for packaging demand.","SAP Returnable Packaging Management","Supply Chain Management","Base","Generally Available","Generally Available","J833","","","https://discovery-center.cloud.sap/ai-feature/0369fa2c-159e-4f75-b16b-451e71618f00/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Recommendations","Provide flight and car recommendations to users.","Concur Travel","Spend Management","Base","Generally Available","Generally Available","J199","","","https://discovery-center.cloud.sap/ai-feature/faf4d13f-b190-4af3-9cd8-cdc233e4ec40/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Search","Enables natural language search queries directly within in SAP Datasphere.","SAP Datasphere","Technology Platform","Premium","Generally Available","Generally Available","J108","","","https://discovery-center.cloud.sap/ai-feature/68658ffa-898f-4e8d-888f-b48e3be618f5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Texting","Simplify and standardize text creation by analyzing content and context.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J47","","","https://discovery-center.cloud.sap/ai-feature/86968b11-6426-4749-90c5-39d6711514a7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI-Assisted Writing","Enhance the quality of the content writing in text fields.","SAP SuccessFactors solutions","Human Capital Management","Premium","Generally Available","Generally Available","J41","","","https://discovery-center.cloud.sap/ai-feature/d686bb39-e55a-49f2-a303-2c06fd802304/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Analysis of Inventory Optimization Results","Analyze safety stock output and support root cause analysis.","SAP Integrated Business Planning","Supply Chain Management","Premium","Generally Available","Generally Available","J428","","","https://discovery-center.cloud.sap/ai-feature/6ae58e5c-05b5-450f-8d6d-1ee27a0b83e4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Analytical Business Insights","Quickly analyze‚ summarize‚ and turn data into clear insights.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J88","","","https://discovery-center.cloud.sap/ai-feature/864e421f-e2dd-4f84-9aad-ea57294f75fd/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Anomaly Detection","Identify and monitor unusual patterns or behavior in technical objects.","SAP Asset Performance Management","Supply Chain Management","Base","Generally Available","Generally Available","J78","","","https://discovery-center.cloud.sap/ai-feature/9e7f8b8b-77c6-48aa-9b6e-1f027879a587/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Anomaly Detection","Identify and respond to unusual patterns or deviations in API traffic.","SAP Integration Suite","Technology Platform","Base","Generally Available","Generally Available","J606","","","https://discovery-center.cloud.sap/ai-feature/c1bf4c86-b2bc-4101-b51d-bc5904ff5924/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","API traffic prediction","Identify trends in API calls and predict future API traffic.","SAP Integration Suite","Technology Platform","Base","Generally Available","Generally Available","J243","","","https://discovery-center.cloud.sap/ai-feature/f74d29df-40d1-498f-905d-90b7af685799/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Applicant Screening","Match the applicant's skills with the ones required for a job.","SAP SuccessFactors Recruiting","Human Capital Management","Premium","Generally Available","Generally Available","J63","","","https://discovery-center.cloud.sap/ai-feature/3ea4fec4-1f6d-4865-9459-54ac5b337641/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Architecture Guidance","Architecture guidance delivers AI-derived insights and assists taking action.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J652","","","https://discovery-center.cloud.sap/ai-feature/5b68ce3e-c6d7-4e5d-a2cd-e137adb01d33/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Assignment Creation","Create and edit assignments using generative AI.","SAP SuccessFactors Opportunity Marketplace","Human Capital Management","Premium","Generally Available","Generally Available","J136","","","https://discovery-center.cloud.sap/ai-feature/f01b7a9c-23af-48f3-8f64-7bea3de91f25/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Assignment Duration Prediction","Predict the assignment duration based on historic data.","SAP Field Service Management","Supply Chain Management","Base","Generally Available","Generally Available","J827","","","https://discovery-center.cloud.sap/ai-feature/03a87a45-87e2-4cb6-9bd0-cc45b4ac0b06/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Auto-Scheduling","Fully automate your planning and streamline your field service operations.","SAP Field Service Management","Supply Chain Management","Base","Generally Available","Generally Available","J829","","","https://discovery-center.cloud.sap/ai-feature/1186258c-64fc-4bd8-b489-0606eaf917e9/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Automated Emission Factor Mapping","Map purchased products and purchased product groups with AI.","SAP Sustainability Footprint Management","Sustainability Management","Base","Generally Available","Generally Available","J58","","","https://discovery-center.cloud.sap/ai-feature/6de0ca8d-698a-4fc3-a4e9-93bbcb7ef568/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Automated Scheduling Analytics","Explain SAP Field Service Management auto-scheduling results.","SAP Field Service Management","Supply Chain Management","Base","Generally Available","Generally Available","J1134","","","https://discovery-center.cloud.sap/ai-feature/b7b38102-02a7-4168-b0b5-140d80b6e618/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Automatic Outlier Correction","Automatically detect and correct outliers in time series data.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J79","","","https://discovery-center.cloud.sap/ai-feature/5e1294e8-d7ab-4449-86ff-808caebb2421/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Automation Creation","Build automations in SAP LeanIX from plain-English descriptions.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J1016","","","https://discovery-center.cloud.sap/ai-feature/781fd821-920b-4cfe-b0f8-ab67eb58557f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Backend Entity Extraction","Extract information and create entities in backends of SAP solutions.","SAP Enterprise Service Management","Customer Relationship Management","Premium","Generally Available","Generally Available","J141","","","https://discovery-center.cloud.sap/ai-feature/4acc49c0-4605-46b1-865a-6298c866072e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Behavioral Insights for Contract Accounting","Analyze historical customer behavior and predict‚ explain payment risk.","SAP S/4HANA Cloud Private Edition","Financial Management","Premium","Generally Available","Generally Available","J765","SAP S/4HANA 2021 FPS0 (Public sector only)‚ SAP S/4HANA 2023 FPS02 (Additional industries)","","https://discovery-center.cloud.sap/ai-feature/9b9439fc-3681-446c-989e-2540e2897331/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Bulk Translation","Instantly translate preset page content into multiple languages with ease.","SAP SuccessFactors solutions","Human Capital Management","Premium","Generally Available","Generally Available","J271","","","https://discovery-center.cloud.sap/ai-feature/f793a99e-8d57-45f2-958a-fcf71d61e5ee/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Business Integrity Screening","Scan large volumes of data in real time with increased accuracy.","SAP Business Integrity Screening for SAP S/4HANA Cloud‚ private edition","Financial Management","Premium","Generally Available","Generally Available","J759","SAP S/4HANA 2023 FPS0","","https://discovery-center.cloud.sap/ai-feature/6a50a96f-e86c-4f48-9faa-5f6594309750/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Business Interaction Intelligence","Provides insights for appointments and visits.","SAP Sales Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J799","","","https://discovery-center.cloud.sap/ai-feature/873f5df1-7f2f-4f3e-a710-9a8ff64c4301/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Business Text Intelligence","Get actionable insights for appointments from note texts.","SAP Sales Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J798","","","https://discovery-center.cloud.sap/ai-feature/2ca27b04-179b-4b91-8c17-4c98f3cb364e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Career Insights","Get insights into employees' development actions towards target role.","SAP SuccessFactors Career and Talent Development","Human Capital Management","Premium","Generally Available","Generally Available","J137","","","https://discovery-center.cloud.sap/ai-feature/0de86c2c-e2e8-4c76-9774-612af138e043/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Categorization","Automate the case categorization process.","SAP Enterprise Service Management","Customer Relationship Management","Base","Generally Available","Generally Available","J801","","","https://discovery-center.cloud.sap/ai-feature/d49736a2-372f-4bdc-8d06-f0bb5117d3e3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Categorization","Automate the case categorization process.","SAP Service Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J850","","","https://discovery-center.cloud.sap/ai-feature/cac4bd46-0b7e-4e98-8f8d-585c3bba26bd/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Summary","Generate Case summary based on email interactions.","SAP Enterprise Service Management","Customer Relationship Management","Premium","Generally Available","Generally Available","J727","","","https://discovery-center.cloud.sap/ai-feature/8aa60c53-e97c-4aae-ae81-1ca48c24bdc7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Summary","Create a case summary using the email communications.","SAP Service Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J8","","","https://discovery-center.cloud.sap/ai-feature/7062122c-d0be-4691-940b-1f3c275617f6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Topic Analyzer","View trending topics from cases.","SAP Enterprise Service Management","Customer Relationship Management","Base","Generally Available","Generally Available","J814","","","https://discovery-center.cloud.sap/ai-feature/ae71951e-9c6b-457f-9c7f-2cb3daa901f4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Topic Analyzer","View trending topics from cases.","SAP Service Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J854","","","https://discovery-center.cloud.sap/ai-feature/09264474-b50b-4ba7-af49-75108ddc8a87/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Type Determination","Determine the case type during the conversion of email to case.","SAP Enterprise Service Management","Customer Relationship Management","Base","Generally Available","Generally Available","J815","","","https://discovery-center.cloud.sap/ai-feature/7cbca359-15ba-409f-8992-c67c13257529/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Case Type Determination","Determine the case type during the conversion of email to case.","SAP Service Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J793","","","https://discovery-center.cloud.sap/ai-feature/9ad22245-4a30-4493-8b74-9b7c5dcc4a0b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Catalog Item Recommendations","Suggest products and services based on users' past purchases.","SAP Ariba Buying","Spend Management","Base","Generally Available","Generally Available","J81","","","https://discovery-center.cloud.sap/ai-feature/a0297dce-3704-4914-907b-33aa8a6b1c1d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Category Segmentation","Generate content recommendations based on AI.","SAP Ariba Category Management","Spend Management","Premium","Generally Available","Generally Available","J24","","","https://discovery-center.cloud.sap/ai-feature/e05e0f4d-1b29-4260-99fa-aec0a595a6cf/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Category Strategy Recommendation","Accelerate category planning with AI-powered recommendations.","SAP Ariba Category Management","Spend Management","Premium","Generally Available","Generally Available","J188","","","https://discovery-center.cloud.sap/ai-feature/5250c365-fe36-4737-9429-24cbda1a187a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Chart of Accounts Upload","Automate the import of expense accounts from accounting systems into Concur.","Concur Expense","Spend Management","Base","Generally Available","Generally Available","J610","","","https://discovery-center.cloud.sap/ai-feature/d1cb475f-b088-471f-8723-c2586d5ee23c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Chart Summary","Summarizes a SAP Analytics Cloud chart as text in Microsoft PowerPoint.","SAP Analytics Cloud","Financial Management","Premium","Generally Available","Generally Available","J139","","","https://discovery-center.cloud.sap/ai-feature/825764c4-6de1-4789-bd0c-74243c60854b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Code Generator for Custom Logic","Generate JavaScript to change entitlements from user requirement descriptions.","SAP Entitlement Management","Financial Management","Base","Generally Available","Generally Available","J703","","","https://discovery-center.cloud.sap/ai-feature/6d93231d-580e-43af-a9e4-4755223a1375/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Commodity Work Center","Simplifies data entry related to deals for commodity traders.","SAP Commodity Management","Technology Platform","Premium","Generally Available","Generally Available","J198","","","https://discovery-center.cloud.sap/ai-feature/56272991-a5e7-4817-bd58-f6714f80e6d8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Compliance Issue Decision Support","Predict the outcome of new compliance issues based on historic decisions.","SAP Risk and Assurance Management","Financial Management","Base","Generally Available","Generally Available","J191","","","https://discovery-center.cloud.sap/ai-feature/b4112dfa-12a4-43f8-b195-e6661fcad875/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Configuration for Audit Rules","Manage and explain expense audit rules in plain language with an AI assistant.","Concur Expense","Spend Management","Base","Generally Available","Generally Available","J936","","","https://discovery-center.cloud.sap/ai-feature/2411eb3f-953f-4ca2-b12b-b0a61b43258f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Configuration for US Tax Jurisdictions","Simplify tax maintenance for the internal sales & use tax solution for the US.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J89","","","https://discovery-center.cloud.sap/ai-feature/e547d658-368e-426f-986e-97e574bfb475/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Content Creation and Summary","Generate‚ summarize & comment with AI to increase content creation efficiency.","SAP Build Work Zone‚ advanced edition","Technology Platform","Base","Generally Available","Generally Available","J202","","","https://discovery-center.cloud.sap/ai-feature/39ef0f64-fc3b-4420-92ee-fa5e052d486b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Content Generation for Catalog","Automates the creation of business rich metadata in the catalog.","SAP Datasphere","Technology Platform","Premium","Generally Available","Generally Available","J224","","","https://discovery-center.cloud.sap/ai-feature/15213c47-7c33-4787-a97b-d28f3a031c5a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Content Search","Semantic search engine that interprets user terminology for tailored results.","SAP Signavio solutions","Business Transformation Management","","Beta","Beta","J779","","","https://discovery-center.cloud.sap/ai-feature/31657cef-3bb1-4d61-b7b6-0d7b36a328be/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Context Analyzer‚ Sentiment Analysis","Analyze customer sentiment with AI to reveal process impact and boost loyalty.","SAP Signavio solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J322","","","https://discovery-center.cloud.sap/ai-feature/1b4de3e7-2d74-4095-b606-5e925edcc1e3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Context Analyzer‚ Text to Event Matching","Matches free-text entries to process events using AI for actionable insights.","SAP Signavio solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J323","","","https://discovery-center.cloud.sap/ai-feature/c0d3da93-4a48-40c6-962e-f6391bc6843f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Context Generation","Provide users with task explanations for better understanding.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J46","","","https://discovery-center.cloud.sap/ai-feature/fa2762c1-5080-480b-bf93-103933a0af11/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Contract Accounting","Automate clearing and recommending proposed matches by accounts receivable.","SAP Cash Application‚ add-on for contract accounting","Financial Management","Premium","Generally Available","Generally Available","J764","SAP S/4HANA 1709 SP 07","","https://discovery-center.cloud.sap/ai-feature/492cf936-7733-408c-85bb-f4e197e8f502/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","CONTRL-Message Explanation","Simplifies error analysis for CONTRL-message in the German energy market.","SAP Market Communication for Utilities","Supply Chain Management","Premium","Generally Available","Generally Available","J132","","","https://discovery-center.cloud.sap/ai-feature/7c179eaa-d412-4f0e-9773-90b515a43a71/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Conversational Planning","Carry out planning operations in transportation cockpit using natural language.","SAP S/4HANA Cloud Private Edition","Cloud ERP applications","Premium","Generally Available","Generally Available","J135","SAP S/4HANA 2023 FP02","","https://discovery-center.cloud.sap/ai-feature/54d5a00e-2519-46da-88fa-b58b4f8ff4dc/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Cost Structure Creation","Generate content recommendations based on AI.","SAP Ariba Category Management","Spend Management","Premium","Generally Available","Generally Available","J22","","","https://discovery-center.cloud.sap/ai-feature/2717ff1c-0d84-49d2-9ed5-9b5824f4aa51/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Curve Based Forecasting","Create reliable predictions when historical data is sparse or incomplete.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J822","","","https://discovery-center.cloud.sap/ai-feature/5f28aaf2-0ff3-45a9-af25-ab079d8cd17c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Custom AI Tool Builder","Create custom AI tools for business users grounded in SAP data.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J55","","","https://discovery-center.cloud.sap/ai-feature/1b81dee1-0c63-4d77-b0a2-2f78f01b3906/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Custom Release Checks","Analyze the documents attached to custom release checks.","SAP Batch Release Hub for Life Sciences","Product Lifecycle Management","Premium","Generally Available","Generally Available","J144","","","https://discovery-center.cloud.sap/ai-feature/98b2a842-c25c-4b08-bf19-1b48224b0dd3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Data Actions","Generates advanced formula scripts and comments data action descriptions.","SAP Analytics Cloud","Financial Management","Premium","Generally Available","Generally Available","J470","","","https://discovery-center.cloud.sap/ai-feature/8e974edb-5d3e-4500-bc00-8549fbf8edd6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
